process_id,step_id,sequence
BP_PAYMENT,STEP_PAY_01,1
BP_PAYMENT,STEP_PAY_02,2
BP_PAYMENT,STEP_PAY_03,3
BP_PAYMENT,STEP_PAY_04,4
BP_PAYMENT,STEP_PAY_05,5
BP_PAYMENT,STEP_PAY_06,6
BP_SCREENING,STEP_SCREEN_01,1
BP_SCREENING,STEP_SCREEN_02,2
BP_SCREENING,STEP_SCREEN_03,3
BP_MARKET,STEP_MARKET_01,1
BP_MARKET,STEP_MARKET_02,2
BP_MARKET,STEP_MARKET_03,3
BP_SETTLEMENT,STEP_SETTLE_01,1
BP_SETTLEMENT,STEP_SETTLE_02,2
BP_SETTLEMENT,STEP_SETTLE_03,3
BP_DATA,STEP_DATA_01,1
BP_DATA,STEP_DATA_02,2
BP_DATA,STEP_DATA_03,3
BP_ACCESS,STEP_ACCESS_01,1
BP_ACCESS,STEP_ACCESS_02,2
BP_ACCESS,STEP_ACCESS_03,3
BP_SUPPORT,STEP_SUPPORT_01,1
BP_SUPPORT,STEP_SUPPORT_02,2
BP_SUPPORT,STEP_SUPPORT_03,3
BP_REG,STEP_REG_01,1
BP_REG,STEP_REG_02,2
BP_REG,STEP_REG_03,3
