team_id,project_id,relationship_type,project_manager_employee_id
T001,P001,OWNS_PROJECT,E002
T001,P002,OWNS_PROJECT,E003
T001,P003,OWNS_PROJECT,E002
T002,P004,OWNS_PROJECT,E006
T002,P005,OWNS_PROJECT,E007
T002,P006,OWNS_PROJECT,E008
T003,P007,OWNS_PROJECT,E011
T003,P008,OWNS_PROJECT,E012
T003,P009,OWNS_PROJECT,E010
T004,P010,OWNS_PROJECT,E014
T004,P011,OWNS_PROJECT,E015
T004,P012,OWNS_PROJECT,E016
T005,P013,OWNS_PROJECT,E018
T005,P014,OWNS_PROJECT,E019
T005,P015,OWNS_PROJECT,E020
T006,P016,OWNS_PROJECT,E023
T006,P017,OWNS_PROJECT,E022
T006,P018,OWNS_PROJECT,E022
T007,P019,OWNS_PROJECT,E025
T007,P020,OWNS_PROJECT,E026
T007,P021,OWNS_PROJECT,E025
T008,P022,OWNS_PROJECT,E028
T008,P023,OWNS_PROJECT,E030
T008,P024,OWNS_PROJECT,E029
T001,P025,OWNS_PROJECT,E001
T004,P026,OWNS_PROJECT,E015
T005,P027,OWNS_PROJECT,E018
T003,P028,OWNS_PROJECT,E011
T004,P029,OWNS_PROJECT,E014
T006,P030,OWNS_PROJECT,E021
